PCB,test,metric,unit,value,note
PCB,T5_slo,baud_max_sin_errores,bps,4000000,busB(RS422) SLO=ON
PCB,T5_slo,baud_max_con_slo,bps,4000000,busB(RS422) SLO_OFF=1000000 bps
PCB,T5_slo,bytes_ok,count,1024,9600 busC(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,9600 busC(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,9600 busC(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,115200 busC(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,115200 busC(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,115200 busC(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,460800 busC(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,460800 busC(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,460800 busC(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,921600 busC(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,921600 busC(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,921600 busC(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,1M busC(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,1M busC(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,1M busC(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,2M busC(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,2M busC(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,2M busC(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,3M busC(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,3M busC(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,3M busC(RS422) SLO=ON
PCB,T5_slo,bytes_ok,count,1024,4M busC(RS422) SLO=ON
PCB,T5_slo,bytes_rx,count,1024,4M busC(RS422) SLO=ON
PCB,T5_slo,ber,ppm,0,4M busC(RS422) SLO=ON
PCB,T5_slo,baud_max_sin_errores,bps,4000000,busC(RS422) SLO=ON
PCB,T5_slo,baud_max_con_slo,bps,4000000,busC(RS422) SLO_OFF=1000000 bps
PCB,T6_turnaround,respuestas_integras,count,8,guard=0us
PCB,T6_turnaround,respuestas_integras,count,8,guard=10us
PCB,T6_turnaround,respuestas_integras,count,8,guard=25us
PCB,T6_turnaround,respuestas_integras,count,8,guard=50us
PCB,T6_turnaround,respuestas_integras,count,8,guard=100us
PCB,T6_turnaround,respuestas_integras,count,8,guard=250us
PCB,T6_turnaround,respuestas_integras,count,8,guard=500us
PCB,T6_turnaround,respuestas_integras,count,8,guard=1000us
PCB,T6_turnaround,guard_minimo,us,0,menor guard con 8/8 respuestas integras
PCB,T7_diafonia,total_fuga,count,0,ráfaga de 128 B a 460800 bps en bus A
PCB,T8_colision,bytes_oidos,count,14,el maestro escucha la colision
PCB,T8_colision,trama_corrupta,bool,1,colision detectada, como debe ser
PCB,T8_colision,recuperado,bool,1,intercambio limpio tras la colision
PCB,T9_estabilidad,tramas,count,6781,busA(RS485-multidrop) a 460800 bps, 10 s
PCB,T9_estabilidad,bytes_ok,count,433920,busA(RS485-multidrop) a 460800 bps, 10 s
PCB,T9_estabilidad,bytes_total,count,433984,busA(RS485-multidrop) a 460800 bps, 10 s
PCB,T9_estabilidad,ber,ppm,147,busA(RS485-multidrop) a 460800 bps, 10 s
PCB,T9_estabilidad,errores_hw,count,2147639,busA(RS485-multidrop) a 460800 bps, 10 s
PCB,T9_estabilidad,tramas,count,14408,busB(RS422) a 1000000 bps, 10 s
PCB,T9_estabilidad,bytes_ok,count,922112,busB(RS422) a 1000000 bps, 10 s
PCB,T9_estabilidad,bytes_total,count,922112,busB(RS422) a 1000000 bps, 10 s
PCB,T9_estabilidad,ber,ppm,0,busB(RS422) a 1000000 bps, 10 s
PCB,T9_estabilidad,errores_hw,count,3983669,busB(RS422) a 1000000 bps, 10 s
PCB,T9_estabilidad,tramas,count,14466,busC(RS422) a 1000000 bps, 10 s
PCB,T9_estabilidad,bytes_ok,count,925824,busC(RS422) a 1000000 bps, 10 s
PCB,T9_estabilidad,bytes_total,count,925824,busC(RS422) a 1000000 bps, 10 s
PCB,T9_estabilidad,ber,ppm,0,busC(RS422) a 1000000 bps, 10 s
PCB,T9_estabilidad,errores_hw,count,4905187,busC(RS422) a 1000000 bps, 10 s
PCB,resumen,fallos_tx_total,count,0,envios que la DMA no completo: fallo de transporte, NO del bus
